baseline,rollouts,depth,determinizations,ismcts_wins,ties,heuristic_wins,regressions,passed,wall_clock_total,wall_clock_per_fixture,status
synthetic,100,1,50,2,8,1,1,false,0.133,0.011,ok
synthetic,100,2,50,2,7,1,1,false,0.145,0.012,ok
synthetic,100,3,50,2,6,2,2,false,0.156,0.013,ok
synthetic,100,4,50,2,6,2,2,false,0.168,0.014,ok
synthetic,500,1,50,2,8,1,1,false,1.665,0.139,ok
synthetic,500,2,50,2,7,1,1,false,1.701,0.142,ok
synthetic,500,3,50,2,6,2,2,false,1.803,0.150,ok
synthetic,500,4,50,3,5,2,2,false,1.786,0.149,ok
synthetic,1000,1,50,2,8,1,1,false,6.679,0.557,ok
synthetic,1000,2,50,2,7,1,1,false,6.308,0.526,ok
synthetic,1000,3,50,2,6,2,2,false,6.274,0.523,ok
synthetic,1000,4,50,3,5,2,2,false,6.307,0.526,ok
synthetic,2000,1,50,2,8,1,1,false,24.804,2.067,ok
synthetic,2000,2,50,2,6,2,2,false,24.421,2.035,ok
synthetic,2000,3,50,2,6,2,2,false,24.372,2.031,ok
synthetic,2000,4,50,3,5,2,2,false,24.178,2.015,ok
production,100,1,50,2,8,1,1,false,0.130,0.011,ok
production,100,2,50,2,7,1,1,false,0.144,0.012,ok
production,100,3,50,2,6,2,2,false,0.156,0.013,ok
production,100,4,50,2,6,2,2,false,0.213,0.018,ok
production,500,1,50,2,8,1,1,false,1.657,0.138,ok
production,500,2,50,2,7,1,1,false,1.680,0.140,ok
production,500,3,50,2,6,2,2,false,1.755,0.146,ok
production,500,4,50,3,5,2,2,false,1.758,0.147,ok
production,1000,1,50,2,8,1,1,false,6.407,0.534,ok
production,1000,2,50,2,7,1,1,false,6.290,0.524,ok
production,1000,3,50,2,6,2,2,false,6.326,0.527,ok
production,1000,4,50,3,5,2,2,false,6.263,0.522,ok
production,2000,1,50,2,8,1,1,false,24.750,2.063,ok
production,2000,2,50,2,6,2,2,false,24.637,2.053,ok
production,2000,3,50,2,6,2,2,false,24.309,2.026,ok
production,2000,4,50,3,5,2,2,false,24.370,2.031,ok
synthetic,5000,1,50,2,8,1,1,false,167.587,13.966,ok
synthetic,5000,4,50,3,5,2,2,false,165.438,13.787,ok
production,5000,1,50,2,8,1,1,false,170.785,14.232,ok
synthetic,5000,2,50,,,,,,,,budget_exhausted
synthetic,5000,3,50,,,,,,,,budget_exhausted
production,5000,2,50,,,,,,,,budget_exhausted
production,5000,3,50,,,,,,,,budget_exhausted
production,5000,4,50,,,,,,,,budget_exhausted
